district_id,state,district,cook_rating,incumb_status,pvi,d_total,r_total,ratio,mu_hat,sigma_i,p_win,msg_i_per_1m,recommended_share,observed_share,difference,outcome,redistricting_flagged
VA-09,VA,9,Safe R,Challenger,-23.06933825260913,230700.48,1130384.19,0.169497522883716,-35.789,7.393,0.0,1e-05,0.000179,0.000179,0.0,R,False
FL-19,FL,19,Safe R,Challenger,-12.964311255917192,192545.66,5598936.45,0.033246353237893364,-33.85,6.893,0.0,1e-05,0.000138,0.000149,-1.1e-05,R,False
NC-09,NC,9,Likely R,Challenger,-5.841307578312968,31056.08,4757025.68,0.006486121490122592,-34.573,6.562,0.0,1e-05,2.4e-05,2.4e-05,0.0,R,False
MI-12,MI,12,Safe D,Incumbent,22.83353465712751,4451391.4799999995,692780.0,0.8653271955078761,52.016,12.906,1.0,1e-05,0.003444,0.003447,-4e-06,D,False
MA-04,MA,4,Safe D,Incumbent,11.65184581520879,1002502.7899999999,8300.16,0.9917885479063946,44.598,11.945,0.9999,9e-06,0.000765,0.000776,-1.1e-05,D,False
NC-04,NC,4,Safe D,Incumbent,16.04355221243226,738751.97,12395.08,0.9834984641156482,49.062,12.314,1.0,9e-06,0.000571,0.000572,-1e-06,D,False
IN-04,IN,4,Safe R,Challenger,-18.261366892061144,41608.33,745075.16,0.052890813813824926,-37.366,7.151,0.0,9e-06,3.2e-05,3.2e-05,0.0,R,False
CA-04,CA,4,Safe D,Incumbent,16.90863605237989,2867580.71,159805.48,0.9472133814549771,48.716,12.388,1.0,9e-06,0.002209,0.002221,-1.2e-05,D,False
TX-16,TX,16,Safe D,Incumbent,18.43690817546573,1474082.52,65048.19,0.9577370592521022,50.744,12.519,1.0,8e-06,0.001142,0.001142,0.0,D,False
GA-09,GA,9,Safe R,Challenger,-23.031996818710944,60994.1,491901.34,0.11031760363225276,-38.419,7.391,0.0,7e-06,4.7e-05,4.7e-05,0.0,R,False
OH-08,OH,8,Safe R,Challenger,-14.035211394428032,26353.13,1099422.87,0.023408857534713834,-37.208,6.945,0.0,7e-06,2e-05,2e-05,0.0,R,False
AR-01,AR,1,Safe R,Challenger,-21.391296630854292,94846.65,889704.9,0.09633487449184351,-37.359,7.308,0.0,7e-06,7.3e-05,7.3e-05,-0.0,R,False
MN-05,MN,5,Safe D,Incumbent,29.534822063444928,8064681.38,2255503.62,0.7814473655268777,55.716,13.519,1.0,6e-06,0.006245,0.006246,-1e-06,D,False
MA-06,MA,6,Safe D,Incumbent,10.243287841991489,1840168.69,13239.45,0.9928567001977233,43.111,11.829,0.9999,6e-06,0.001415,0.001425,-1e-05,D,False
AL-06,AL,6,Safe R,Challenger,-19.298201595586924,173213.53,2021427.7,0.07892567023358073,-36.147,7.202,0.0,6e-06,0.000134,0.000134,0.0,R,False
MA-02,MA,2,Safe D,Incumbent,12.66908430464133,1070531.65,7771.35,0.9927929811935976,45.733,12.029,0.9999,6e-06,0.000829,0.000829,0.0,D,False
GA-04,GA,4,Safe D,Incumbent,26.368184394606217,622047.45,44230.17,0.9336160052922083,58.437,13.226,1.0,6e-06,0.000482,0.000482,0.0,D,False
TX-29,TX,29,Safe D,Incumbent,20.482512838177314,950747.15,34169.18,0.9653075302345733,53.224,12.698,1.0,6e-06,0.000736,0.000736,-0.0,D,False
GA-14,GA,14,Safe R,Challenger,-22.307036948383235,3534994.34,10062930.19,0.2599657272844123,-32.268,7.354,0.0,5e-06,0.002737,0.002738,-1e-06,R,False
