district_id,cook_rating,predicted_dccc_share,predicted_dccc_dollars,model_optimal_dollars
PA-12,Likely D,0.0014777687697961903,582695.5043297323,0.0
PA-13,Safe R,7.165768054846324e-05,28255.170334966755,13.867650628737465
PA-14,Safe R,0.0005162990692756827,203580.66343360135,2344.8614638745785
PA-15,Safe R,0.00021347075806749306,84173.14912463837,132.56403639870405
PA-16,Safe R,0.0010157940392119156,400535.342248,4639.998737819027
PA-17,Lean D,0.006216779955044316,2451323.7830239986,0.0
RI-01,Safe D,0.0006384647307957609,251751.5161449054,0.0
RI-02,Likely D,0.002978924303118703,1174612.5880067463,2356069.5224793334
SC-01,Likely R,0.004710663827222426,1857450.6990763952,5239217.181509299
SC-02,Safe R,0.0021198378170055065,835868.2299448109,14034.23066813431
SC-03,Safe R,0.0001561220344298364,61560.10970621871,509.33243909918747
SC-04,Safe R,0.0011024971310054877,434723.0330641825,1844.1675095581159
SC-05,Safe R,0.0013485082397686888,531727.090817589,102766.31866678194
SC-06,Safe D,0.0005576138373698741,219871.3918093478,0.0
SC-07,Safe R,0.001525284290068633,601431.2366137885,493106.88303585234
SD-00,Safe R,0.0010004699478418637,394492.93606661964,4320.3735559606575
TN-01,Safe R,2.1235961676857707e-05,8373.50176301944,175.48269744036952
TN-02,Safe R,0.00039618116329580175,156217.2563603613,48934.42555593554
TN-03,Safe R,0.0002530452607702076,99777.67757474018,361.57842288068787
TN-04,Safe R,0.00015739156026654347,62060.69343271178,565853.3439722725
TN-05,Safe R,0.002847034284628874,1122607.3471255305,3695608.7948982
TN-06,Safe R,0.00048688829789825965,191983.77181512603,2255.8829092957385
TN-07,Safe R,0.005580871214586974,2200580.1133769676,487561.3442989987
TN-08,Safe R,0.00017555510261665032,69222.716806348,4391.068478003537
TN-09,Safe D,0.00037781096588254383,148973.74731812367,248829.1587519287
TX-01,Safe R,6.469271888089753e-05,25508.83279253839,0.0
TX-02,Safe R,0.0011264657578545663,444174.0455604347,932688.0047075385
TX-03,Safe R,0.0013071739442332558,515428.6626227266,2654873.6363775255
TX-04,Safe R,0.00035492579909964493,139949.9513949831,464.7463092599555
TX-05,Safe R,0.0006289958153989693,248017.85053675345,435.2381914035759
TX-06,Safe R,0.0007155584751327419,282150.16791997314,26.402196160193853
TX-07,Safe D,0.0005897671146145137,232549.67442219728,178957.31507489784
TX-08,Safe R,0.0005989434414352787,236167.9701217725,19.574684285915282
TX-09,Safe D,0.00013399612571236106,52835.69503296707,418919.2520272067
TX-10,Safe R,0.0011666164782487584,460005.78104400594,112509.67702268233
TX-11,Safe R,0.00014058416809032152,55433.41042283876,0.0
TX-12,Safe R,0.0009214091605132804,363318.66422740073,170.8918898689899
TX-13,Safe R,5.684677884768592e-05,22415.11875686852,0.0
TX-14,Safe R,0.00045831614434492025,180717.55360505666,1934.980454131317
TX-15,Toss-Up,0.012196320804167977,4809102.375963735,8203395.111245807
TX-16,Safe D,0.00021833191099260142,86089.9388235509,0.0
TX-17,Safe R,0.0006189653916314363,244062.77789256055,1110.9672253535318
TX-18,Safe D,0.0005356133155609911,211196.41815111277,0.0
TX-19,Safe R,6.96937327400213e-05,27480.770725158258,4.107630670321669
TX-20,Safe D,0.0003579078531047119,141125.7980483541,4047.5822899863124
TX-21,Safe R,0.001265043272027097,498816.21702861367,16608.5632499707
TX-22,Safe R,0.0012089462446641251,476696.73100430565,63292.02202615187
TX-23,Lean R,0.0061439805282431465,2422618.41342773,1015941.835460789
TX-24,Safe R,0.0016321293863962585,643561.0735424516,215529.59619983257
TX-25,Safe R,0.0002567965965343518,101256.85789690902,4856.977740851085
TX-26,Safe R,0.0009519204993941571,375349.5180120695,6929.135850355888
TX-27,Safe R,0.0009912326882710674,390850.6141186656,116200.31437393867
TX-28,Likely D,0.0026894478689539533,1060469.8207181504,966879.7280164794
TX-29,Safe D,0.000180812246562154,71295.64878682405,0.0
TX-30,Safe D,0.0013968463801132087,550787.1884743394,0.0
TX-31,Safe R,0.0007296334057904561,287700.02049882675,117887.0256763176
TX-32,Safe D,0.001382044036870395,544950.5115615348,3894622.4774365965
TX-33,Safe D,0.0020715604263924444,816832.0863708189,0.0
TX-34,Safe D,0.0013169370275655362,519278.32089294493,2408464.5207202286
TX-35,Safe D,0.0003329297687477104,131276.74875250185,530989.7968344975
